Type,Blending_Time,LPM,IP (mg),PRE (mg),Stage 1 (mg),Stage 2 (mg),Stage 3 (mg),Stage 4 (mg),Stage 5 (mg),Stage 6 (mg),Stage 7 (mg),Stage 8 (mg),Remaining (mg),Mouth (mg),PTP/Vial (mg),ED (mg),FPD (mg),FPF (%),RD (mg),SUM_ALL (mg),19.9008,19.8811,19.9205,15.8019,18.8761,19.8614,16.5704,23.7239,15.3092,16.6493,diam_um_d10,diam_um_d50,diam_um_mean,diam_um_d90,diam_um_span,length_um_d10,length_um_d50,length_um_mean,length_um_d90,length_um_span,width_um_d10,width_um_d50,width_um_mean,width_um_d90,width_um_span,area_um2_d10,area_um2_d50,area_um2_mean,area_um2_d90,area_um2_span,aspect_ratio_median,aspect_ratio_mean,azimuth_deg_sin_mean,azimuth_deg_cos_mean,polar_deg_sin_mean,polar_deg_cos_mean,FPO_sin_mean,FPO_cos_mean,FAD_sin_mean,FAD_cos_mean,MFOV_mean,MFOV_max,MFOV_min,MRV_mean,MRV_max,MRV_min,SA_mean,SA_max,SA_min,azimuth_deg_sin_std,azimuth_deg_cos_std,polar_deg_sin_std,polar_deg_cos_std,FPO_sin_std,FPO_cos_std,FAD_sin_std,FAD_cos_std
NE_Raw_1,30,40,2.174589386,2.213111822,0.297708306,0.368806583,0.394578,0.350565313,0.178443816,0.074389555,0.019038984,0.014876464,3.036292292,0.737598517,3.235210272,6.086108228,1.031892131,16.95487646,9.12240052,13.09520931,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,30,40,2.145719099,2.151053368,0.280929534,0.371028591,0.399189101,0.406299296,0.203524706,0.073422711,0.02054285,0.013690492,2.230578507,0.468631161,4.020040372,6.065399747,1.116669156,18.41047915,8.295978254,12.78464979,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,30,40,1.841216657,2.103087804,0.035060101,0.374818444,0.375733139,0.348137161,0.157354023,0.045121611,0.013358423,0.010315096,3.304214022,0.582949156,4.131274547,5.304202458,0.950019453,17.91069365,8.60841648,13.32264018,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,15,60,3.27375171,2.434692967,0.271386917,0.278777768,0.186506541,0.184128823,0.127706236,0.047583291,0.018956352,0.012062765,2.536345388,0.389239552,4.164213102,6.83555337,0.576944007,8.440340909,9.371898758,13.92535141,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,15,60,3.439605294,2.885940066,0.310405266,0.35157622,0.247119156,0.268311566,0.180145986,0.071632239,0.022350017,0.011692617,2.241032564,0.65891203,3.422606254,7.788778427,0.801251582,10.28725607,10.02981099,14.11132928,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,15,60,3.111239014,2.448781202,0.280813197,0.333186869,0.232341689,0.254044803,0.15558245,0.075656899,0.024311074,0.012281857,2.406182005,0.566641783,4.002661684,6.928239054,0.754218772,10.88615399,9.334421059,13.90372453,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,30,60,3.522149216,2.626509009,0.331628475,0.357355163,0.276422274,0.283005106,0.192510912,0.071768875,0.019330455,0.012503925,2.989461776,0.433747544,2.553327663,7.69318341,0.855541547,11.12077408,10.68264519,13.66972039,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,30,60,2.984691434,2.807655804,0.378680744,0.418532101,0.314744705,0.344810764,0.215447875,0.0824436,0.019111397,0.018745554,2.87332125,0.744702832,3.012182011,7.584863976,0.995303894,13.12223788,10.45818523,14.21507007,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,30,60,3.275429031,2.745704744,0.269389462,0.339133422,0.243722271,0.266206979,0.185248051,0.072063985,0.022234486,0.013836192,2.779314044,0.637291794,3.406806575,7.432968624,0.803311965,10.80741768,10.21228267,14.25638104,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,60,60,3.052228191,2.488024576,0.307519049,0.310148689,0.223784956,0.227874294,0.156490531,0.053322126,0.02024151,0.012041625,2.631515852,0.647950035,4.010854709,6.851675546,0.693755042,10.12533412,9.483191398,14.14199614,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,60,60,3.010139882,2.696377968,0.290756306,0.303798424,0.210946986,0.201071285,0.143504236,0.058974968,0.020248055,0.011775809,1.915748074,0.545824421,3.643352519,6.947593918,0.646521338,9.305686918,8.863341992,13.05251893,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,60,60,2.75807264,2.291971623,0.350265512,0.389061163,0.293355882,0.295863306,0.171106829,0.049392488,0.015377157,0.014647571,2.597299068,0.531034284,4.039484764,6.629114171,0.839743233,12.66750294,9.226413238,13.79693229,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,90,60,2.867731095,2.345229086,0.322509309,0.346484899,0.27145527,0.261260274,0.153711411,0.047261407,0.012605352,0.01111818,2.362833492,0.435289384,4.215877452,6.639366284,0.757411894,11.40789439,9.002199776,13.65336661,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_2,90,60,3.45102273,2.472631986,0.255856764,0.317346451,0.247896376,0.243640129,0.174056988,0.066628696,0.017717917,0.016941782,2.480681262,0.540397041,4.105011466,7.263739819,0.766881888,10.55767286,9.744421081,14.38982959,1.0,0.985355649,0.887029289,0.018828452,0.172942817,0.90167364,0.10111576,0.107391911,0.028591353,0.072524407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Raw_1,90,60,2.839427685,2.898669749,0.29264929,0.330238775,0.225657185,0.24174018,0.156595528,0.06880419,0.017603225,0.014773532,2.075127532,0.513323421,3.906545691,7.086159339,0.725173841,10.23366546,9.161286871,13.58115598,0.785145889,0.663129973,0.785145889,0.029177719,0.208222812,0.588859416,0.095490716,0.136604775,0.025198939,0.108753316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_Needle_1,30,40,1.778791975,5.358264646,0.235529596,0.251149976,0.277214264,0.573666616,0.609248461,0.232663399,0.04098016,0.016497436,0.968183768,0.939298992,2.616756393,9.374006528,1.750270335,18.67152887,10.3421903,13.89824568,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,30,40,2.302101044,3.854751572,0.200221792,0.233679626,0.229782957,0.436087953,0.476639287,0.252775639,0.040979075,0.013666448,0.673317355,1.621447802,3.001602693,8.040685392,1.449931358,18.03243489,8.714002747,13.33705324,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,30,40,1.946515023,4.844538494,0.215114826,0.240920857,0.20881622,0.385097471,0.548746441,0.305063808,0.061554175,0.021578047,1.608137452,0.744806114,2.930131993,8.777945363,1.530856163,17.43980054,10.38608281,14.06102092,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,60,40,1.622573089,4.723353477,0.202421751,0.222190617,0.22598362,0.420158708,0.61839881,0.341934627,0.065286244,0.01871577,1.536551606,0.676276404,3.230580271,8.461016712,1.690477778,19.97960571,9.997568318,13.90442499,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,60,40,1.6951017,4.736657369,0.251739742,0.276890629,0.275969319,0.599467782,0.777000558,0.415087022,0.068073239,0.019185314,1.56688285,0.380308051,3.085033836,9.115172674,2.154783234,23.63952183,10.68205552,14.14739741,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,60,40,2.150433971,5.239403728,0.240414843,0.267647183,0.249466741,0.393003891,0.402637644,0.213987967,0.042670255,0.015242202,1.347669711,0.529731696,2.681581368,9.214908425,1.3170087,14.2921518,10.56257814,13.7738912,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,90,40,2.146078187,4.7886015,0.25581977,0.305554318,0.268743242,0.399935347,0.443840272,0.244176592,0.053420683,0.019527918,1.215626295,0.877042759,2.340842882,8.925697829,1.429644054,16.01716842,10.14132412,13.35920977,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,90,40,1.627816725,4.920864395,0.209232181,0.236870333,0.222841386,0.425550424,0.568545546,0.343568829,0.060704087,0.018463148,1.465340983,0.656986988,3.132530731,8.634457053,1.63967342,18.98988448,10.09979804,13.88931575,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,90,40,1.656167278,4.995560765,0.244527945,0.26882787,0.239956533,0.407872985,0.541770572,0.315633817,0.058196418,0.021365149,1.37337743,0.632682758,2.970076972,8.749879332,1.584795474,18.11219805,10.12325676,13.72601649,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,30,60,1.528950556,3.734004775,0.344889931,0.44005973,0.4579809,1.039521017,1.147696676,0.416504091,0.055519285,0.023793335,1.672608413,0.552911692,2.754649976,9.188920296,3.141015305,34.18263739,10.86152871,14.16909038,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,30,60,1.708707055,3.911063614,0.336016038,0.434839788,0.447825104,0.972054223,1.071637484,0.397975305,0.056002654,0.020445554,1.523183018,0.554961506,2.570511478,9.356566819,2.965940324,31.6990236,10.87974984,14.00522282,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_2,30,60,1.189001994,3.872121143,0.362554805,0.369411993,0.416125788,1.241134485,1.398335019,0.51784944,0.064579897,0.0284548,1.652313409,0.445019874,2.862531259,9.459569364,3.666479429,38.75947507,11.11188277,14.41943391,0.889312977,0.950381679,0.633587786,0.026717557,0.198473282,1.0,0.129770992,0.122137405,0.034351145,0.103053435,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
NE_Needle_1,60,60,1.017386092,3.358520007,0.31291094,0.397208165,0.558162712,1.552141572,1.41066568,0.498737363,0.063287424,0.02255721,1.497883491,0.466344895,3.160113829,9.191577165,4.105551961,44.66645808,10.68946066,14.31591938,0.642384106,0.637969095,0.6401766,0.033112583,0.227373068,0.584988962,0.114790287,0.174392936,0.033112583,0.08388521,0.963,1.751,2.0529,3.455,1.4232,1.3548,2.447,2.7521,4.8926,1.4458,0.7422,1.478,1.7564,3.1798,1.6493,0.7286,2.4082,4.3025,9.3736,3.5898,1.556,1.703,0.6341,0.0076,0.8421,0.5267,0.9991,0.0414,0.6399,0.0398,0.6372,1.973,0.217,0.3046,0.9078,0.0015,79.4494,814.6571,2.7367,0.3164,0.7055,0.0585,0.1002,0.0007,0.0127,0.3096,0.7022
